### Level $000 ###
00: $82 - Bonus game sprite (0x0050, 0x0070)
42: $13 - Spiny (0x0F00, 0x0170)
43: $CD - Para-Bomb generator (0x0FB0, 0x0000)
44: $4B - Pipe-dwelling Lakitu (0x1120, 0x0150)
45: $92 - Splittin' Chuck (0x11B0, 0x0120)
46: $D9 - Turn Off Generators (0x11F0, 0x0000)
47: $0B - Red Koopa Troopa flying horizontally (0x1270, 0x0130)
48: $0B - Red Koopa Troopa flying horizontally (0x1280, 0x0130)
49: $0B - Red Koopa Troopa flying horizontally (0x1290, 0x0130)
50: $0B - Red Koopa Troopa flying horizontally (0x12A0, 0x0130)
51: $7B - Goal tape (0x12E0, 0x0170)

### Level $002 ###
00: $42 - Dolphin that swims and jumps back and forth (0x0120, 0x0180)
01: $D9 - Turn Off Generators (0x0150, 0x0000)
02: $42 - Dolphin that swims and jumps back and forth (0x0180, 0x0180)
03: $42 - Dolphin that swims and jumps back and forth (0x01E0, 0x0180)
04: $42 - Dolphin that swims and jumps back and forth (0x0240, 0x0180)
05: $CF - Dolphin generator (left) (0x0340, 0x0000)
06: $D9 - Turn Off Generators (0x0560, 0x0000)
07: $42 - Dolphin that swims and jumps back and forth (0x0630, 0x0180)
08: $41 - Dolphin that swims and jumps in one direction (0x0670, 0x0180)
09: $43 - Dolphin that swims and jumps up and down (0x06A0, 0x0180)
10: $C3 - Porcu-Puffer (0x06E0, 0x0180)
11: $41 - Dolphin that swims and jumps in one direction (0x0730, 0x0180)
12: $42 - Dolphin that swims and jumps back and forth (0x0780, 0x0180)
13: $42 - Dolphin that swims and jumps back and forth (0x08B0, 0x0180)
14: $43 - Dolphin that swims and jumps up and down (0x08E0, 0x0180)
15: $42 - Dolphin that swims and jumps back and forth (0x0940, 0x0180)
16: $42 - Dolphin that swims and jumps back and forth (0x09A0, 0x0180)
17: $D9 - Turn Off Generators (0x09E0, 0x0000)
18: $41 - Dolphin that swims and jumps in one direction (0x09F0, 0x0180)
19: $43 - Dolphin that swims and jumps up and down (0x0A20, 0x0180)
20: $43 - Dolphin that swims and jumps up and down (0x0AA0, 0x0180)
21: $43 - Dolphin that swims and jumps up and down (0x0AE0, 0x0180)
22: $D0 - Dolphin generator (right) (0x0B90, 0x0000)

### Level $003 ###
00: $8C - Side exit enabler (0x0070, 0x0160)

### Level $004 ###
00: $E1 - Boo Ceiling (0x0000, 0x0100)
01: $B9 - Info Box (0x0090, 0x0150)

### Level $005 ###
00: $E0 - 3 rotating gray platforms (0x0140, 0x0150)
01: $62 - Brown line-guided platform (0x0270, 0x0130)
02: $E0 - 3 rotating gray platforms (0x02E0, 0x0140)
03: $06 - Blue Koopa Troopa (0x03B0, 0x0120)
04: $09 - Green Koopa Troopa bouncing (0x0430, 0x0120)
05: $08 - Green Koopa Troopa flying left (0x0490, 0x0110)
06: $08 - Green Koopa Troopa flying left (0x04C0, 0x0110)
07: $09 - Green Koopa Troopa bouncing (0x0550, 0x0110)
08: $E0 - 3 rotating gray platforms (0x05D0, 0x0140)
09: $62 - Brown line-guided platform (0x0670, 0x0120)
10: $E0 - 3 rotating gray platforms (0x0700, 0x0140)
11: $B9 - Info Box (0x07A0, 0x0150)
12: $05 - Red Koopa Troopa (0x0820, 0x0170)
13: $62 - Brown line-guided platform (0x0850, 0x0160)
14: $08 - Green Koopa Troopa flying left (0x0910, 0x0160)
15: $68 - Fuzzy, line-guided (0x09F0, 0x00E0)
16: $68 - Fuzzy, line-guided (0x0A10, 0x0170)
17: $68 - Fuzzy, line-guided (0x0A10, 0x0140)
18: $08 - Green Koopa Troopa flying left (0x0A90, 0x0100)
19: $68 - Fuzzy, line-guided (0x0B30, 0x0150)
20: $62 - Brown line-guided platform (0x0B30, 0x0120)
21: $E0 - 3 rotating gray platforms (0x0BD0, 0x0140)
22: $63 - Brown/checkered line-guided platform (0x0C50, 0x0110)
23: $55 - Checkerboard platform, horizontal (0x0C60, 0x0180)
24: $55 - Checkerboard platform, horizontal (0x0D00, 0x0180)
25: $08 - Green Koopa Troopa flying left (0x0D20, 0x0100)
26: $55 - Checkerboard platform, horizontal (0x0DA0, 0x0180)
27: $08 - Green Koopa Troopa flying left (0x0DE0, 0x0100)
28: $08 - Green Koopa Troopa flying left (0x0E40, 0x0100)
29: $E0 - 3 rotating gray platforms (0x0F40, 0x0140)
30: $E0 - 3 rotating gray platforms (0x0FF0, 0x0140)
31: $E0 - 3 rotating gray platforms (0x1160, 0x0140)
32: $68 - Fuzzy, line-guided (0x1170, 0x0100)
33: $63 - Brown/checkered line-guided platform (0x11D0, 0x0130)
34: $7B - Goal tape (0x12E0, 0x0170)

### Level $006 ###
00: $DD - Yellow Koopa shell (0x0110, 0x0170)
01: $03 - Yellow Koopa Troopa without shell (0x0140, 0x0170)
02: $0F - Goomba (0x0210, 0x0170)
03: $05 - Red Koopa Troopa (0x0270, 0x0170)
04: $4F - Jumping Piranha Plant (0x0280, 0x0150)
05: $06 - Blue Koopa Troopa (0x0300, 0x0170)
06: $49 - Growing/shrinking pipe (0x0310, 0x0150)
07: $06 - Blue Koopa Troopa (0x0370, 0x0170)
08: $4F - Jumping Piranha Plant (0x0380, 0x0150)
09: $49 - Growing/shrinking pipe (0x03D0, 0x0160)
10: $9C - Flying gray blocks for Hammer Brother (0x0490, 0x0110)
11: $9B - Amazing Flying Hammer Brother (0x0490, 0x0110)
12: $05 - Red Koopa Troopa (0x05D0, 0x0110)
13: $0F - Goomba (0x0610, 0x0170)
14: $0F - Goomba (0x0630, 0x0170)
15: $06 - Blue Koopa Troopa (0x0640, 0x0120)
16: $0F - Goomba (0x0650, 0x0170)
17: $0F - Goomba (0x0670, 0x0170)
18: $0F - Goomba (0x0690, 0x0170)
19: $10 - Bouncing Goomba with wings (0x06B0, 0x0170)
20: $4F - Jumping Piranha Plant (0x0730, 0x0150)
21: $9C - Flying gray blocks for Hammer Brother (0x0880, 0x0110)
22: $9B - Amazing Flying Hammer Brother (0x0880, 0x0110)
23: $10 - Bouncing Goomba with wings (0x0B00, 0x0180)
24: $10 - Bouncing Goomba with wings (0x0B50, 0x0180)
25: $10 - Bouncing Goomba with wings (0x0B80, 0x0180)
26: $10 - Bouncing Goomba with wings (0x0C00, 0x0170)
27: $81 - Changing item (0x0C50, 0x0110)
28: $9C - Flying gray blocks for Hammer Brother (0x0CC0, 0x0110)
29: $9B - Amazing Flying Hammer Brother (0x0CC0, 0x0110)
30: $3F - Para-Goomba (0x0D00, 0x00A0)
31: $3F - Para-Goomba (0x0DB0, 0x00A0)
32: $10 - Bouncing Goomba with wings (0x0E10, 0x0150)
33: $CC - Para-Goomba generator (0x0E30, 0x0000)
34: $10 - Bouncing Goomba with wings (0x0EF0, 0x0160)
35: $10 - Bouncing Goomba with wings (0x0FC0, 0x0150)
36: $10 - Bouncing Goomba with wings (0x1030, 0x0130)
37: $10 - Bouncing Goomba with wings (0x10C0, 0x0170)
38: $D9 - Turn Off Generators (0x1140, 0x0000)
39: $10 - Bouncing Goomba with wings (0x1140, 0x0170)
40: $3F - Para-Goomba (0x11D0, 0x00C0)
41: $9C - Flying gray blocks for Hammer Brother (0x11F0, 0x0110)
42: $9B - Amazing Flying Hammer Brother (0x11F0, 0x0110)
43: $3F - Para-Goomba (0x1210, 0x00C0)
44: $7B - Goal tape (0x12E0, 0x0170)

### Level $007 ###
00: $27 - Thwimp (0x0090, 0x00B0)
01: $27 - Thwimp (0x0100, 0x00B0)
02: $9E - Ball 'n' Chain (0x0160, 0x0120)
03: $9E - Ball 'n' Chain (0x01C0, 0x00C0)
04: $9E - Ball 'n' Chain (0x0220, 0x0060)

### Level $008 ###
00: $DB - Red Koopa shell (0x0060, 0x00F0)
01: $02 - Blue Koopa Troopa without shell (0x0080, 0x0130)
02: $3E - P-switch (0x00A0, 0x00F0)
03: $05 - Red Koopa Troopa (0x00E0, 0x0170)
04: $05 - Red Koopa Troopa (0x0120, 0x0170)
05: $05 - Red Koopa Troopa (0x0160, 0x0170)
06: $05 - Red Koopa Troopa (0x01A0, 0x0170)
07: $05 - Red Koopa Troopa (0x01E0, 0x0170)
08: $05 - Red Koopa Troopa (0x0220, 0x0170)
09: $05 - Red Koopa Troopa (0x0260, 0x0170)
10: $05 - Red Koopa Troopa (0x02A0, 0x0170)

### Level $009 ###
00: $E8 - Special auto-scroll command (0x0080, 0x0000)
01: $11 - Buzzy Beetle (0x0130, 0x0140)
02: $BE - Swooper (0x0160, 0x0100)
03: $11 - Buzzy Beetle (0x01B0, 0x0120)
04: $BE - Swooper (0x01E0, 0x0100)
05: $11 - Buzzy Beetle (0x0270, 0x0120)
06: $BE - Swooper (0x02F0, 0x00B0)
07: $11 - Buzzy Beetle (0x0460, 0x00D0)
08: $BE - Swooper (0x0490, 0x0060)
09: $BE - Swooper (0x04C0, 0x0060)
10: $BE - Swooper (0x0520, 0x0060)
11: $BE - Swooper (0x0570, 0x0060)
12: $BE - Swooper (0x0590, 0x0060)
13: $BE - Swooper (0x05B0, 0x0060)
14: $BE - Swooper (0x0610, 0x0060)
15: $BE - Swooper (0x06C0, 0x00B0)
16: $11 - Buzzy Beetle (0x0710, 0x0100)
17: $BE - Swooper (0x0740, 0x00B0)
18: $BE - Swooper (0x0760, 0x00B0)
19: $11 - Buzzy Beetle (0x0770, 0x0100)
20: $BE - Swooper (0x07B0, 0x00B0)
21: $11 - Buzzy Beetle (0x0840, 0x00F0)
22: $11 - Buzzy Beetle (0x0880, 0x00F0)
23: $11 - Buzzy Beetle (0x08C0, 0x0100)
24: $83 - Flying question block that flies left (0x0820, 0x00E0)
25: $2E - Spike Top (0x0B80, 0x0110)
26: $2E - Spike Top (0x0BA0, 0x0110)
27: $11 - Buzzy Beetle (0x0BE0, 0x0110)

### Level $00A ###
00: $3D - Rip Van Fish (0x00C0, 0x0170)
01: $16 - Cheep Cheep swimming vertically (0x0190, 0x0130)
02: $C2 - Blurp (0x01D0, 0x0170)
03: $3D - Rip Van Fish (0x0270, 0x0160)
04: $3D - Rip Van Fish (0x02F0, 0x0120)
05: $C2 - Blurp (0x0320, 0x0170)
06: $15 - Cheep Cheep swimming horizontally (0x0350, 0x0170)
07: $3D - Rip Van Fish (0x03D0, 0x0140)
08: $C2 - Blurp (0x0440, 0x0120)
09: $C2 - Blurp (0x0470, 0x0150)
10: $16 - Cheep Cheep swimming vertically (0x04C0, 0x00F0)
11: $16 - Cheep Cheep swimming vertically (0x0510, 0x0100)
12: $3D - Rip Van Fish (0x0560, 0x0140)
13: $16 - Cheep Cheep swimming vertically (0x05C0, 0x0160)
14: $16 - Cheep Cheep swimming vertically (0x05E0, 0x0150)
15: $3D - Rip Van Fish (0x0630, 0x0130)
16: $3D - Rip Van Fish (0x06D0, 0x0180)
17: $15 - Cheep Cheep swimming horizontally (0x0700, 0x0110)
18: $15 - Cheep Cheep swimming horizontally (0x0720, 0x0140)
19: $3E - P-switch (0x0740, 0x0150)
20: $C2 - Blurp (0x07E0, 0x0140)
21: $C2 - Blurp (0x0810, 0x0110)
22: $C2 - Blurp (0x0880, 0x0170)
23: $3D - Rip Van Fish (0x08B0, 0x0110)
24: $C2 - Blurp (0x0970, 0x0120)
25: $0E - Keyhole (0x0980, 0x0140)
26: $15 - Cheep Cheep swimming horizontally (0x0A30, 0x0130)
27: $15 - Cheep Cheep swimming horizontally (0x0A60, 0x0160)
28: $16 - Cheep Cheep swimming vertically (0x0AC0, 0x0190)
29: $15 - Cheep Cheep swimming horizontally (0x0B00, 0x0160)
30: $3D - Rip Van Fish (0x0B70, 0x0110)
31: $7B - Goal tape (0x0BE0, 0x0170)

### Level $00B ###
00: $9E - Ball 'n' Chain (0x0140, 0x0130)
01: $AA - Fishbone (0x0190, 0x0150)
02: $AA - Fishbone (0x01D0, 0x0110)
03: $9E - Ball 'n' Chain (0x0210, 0x0110)
04: $AA - Fishbone (0x02C0, 0x00F0)
05: $9E - Ball 'n' Chain (0x0300, 0x00E0)
06: $AA - Fishbone (0x0370, 0x0170)
07: $AA - Fishbone (0x0450, 0x00F0)
08: $AA - Fishbone (0x0540, 0x0150)
09: $AA - Fishbone (0x05D0, 0x0120)
10: $B2 - Falling spike (0x05D0, 0x0100)
11: $31 - Bony Beetle (0x0600, 0x0170)
12: $B2 - Falling spike (0x0640, 0x0100)
13: $B2 - Falling spike (0x0650, 0x0100)
14: $30 - Dry Bones that throws bones (0x0670, 0x0170)
15: $AA - Fishbone (0x0680, 0x0140)
16: $B2 - Falling spike (0x06B0, 0x0100)
17: $B2 - Falling spike (0x06E0, 0x0100)
18: $31 - Bony Beetle (0x06E0, 0x0170)
19: $30 - Dry Bones that throws bones (0x0710, 0x0170)
20: $AA - Fishbone (0x0720, 0x0140)
21: $B2 - Falling spike (0x0730, 0x0100)
22: $AA - Fishbone (0x0780, 0x0130)

### Level $00C ###
00: $E8 - Special auto-scroll command (0x0000, 0x0C00)
01: $8F - Scale platforms (0x0170, 0x0160)
02: $8F - Scale platforms (0x0210, 0x0140)
03: $0A - Red Koopa Troopa flying vertically (0x0230, 0x0140)
04: $C4 - Gray platform that falls (0x0290, 0x0120)
05: $8F - Scale platforms (0x02E0, 0x0120)
06: $C4 - Gray platform that falls (0x0310, 0x0110)
07: $0A - Red Koopa Troopa flying vertically (0x0390, 0x0100)
08: $8F - Scale platforms (0x0430, 0x00D0)
09: $08 - Green Koopa Troopa flying left (0x04E0, 0x00A0)
10: $08 - Green Koopa Troopa flying left (0x0500, 0x00A0)
11: $08 - Green Koopa Troopa flying left (0x0520, 0x00A0)
12: $08 - Green Koopa Troopa flying left (0x0540, 0x00A0)
13: $08 - Green Koopa Troopa flying left (0x0560, 0x00A0)
14: $08 - Green Koopa Troopa flying left (0x0580, 0x00A0)
15: $08 - Green Koopa Troopa flying left (0x05A0, 0x00A0)
16: $08 - Green Koopa Troopa flying left (0x05C0, 0x00A0)
17: $8F - Scale platforms (0x05F0, 0x00D0)
18: $8F - Scale platforms (0x0670, 0x0090)
19: $8F - Scale platforms (0x06F0, 0x0050)
20: $08 - Green Koopa Troopa flying left (0x0780, 0x00A0)
21: $8F - Scale platforms (0x0790, 0x0130)
22: $08 - Green Koopa Troopa flying left (0x07A0, 0x00C0)
23: $08 - Green Koopa Troopa flying left (0x07C0, 0x00E0)
24: $8F - Scale platforms (0x0940, 0x0070)
25: $0A - Red Koopa Troopa flying vertically (0x0980, 0x0090)
26: $C4 - Gray platform that falls (0x0A10, 0x0080)
27: $0B - Red Koopa Troopa flying horizontally (0x0AC0, 0x00E0)
28: $0B - Red Koopa Troopa flying horizontally (0x0AE0, 0x00F0)
29: $0B - Red Koopa Troopa flying horizontally (0x0B00, 0x0100)
30: $0B - Red Koopa Troopa flying horizontally (0x0B20, 0x0110)
31: $0B - Red Koopa Troopa flying horizontally (0x0B40, 0x0120)
32: $0B - Red Koopa Troopa flying horizontally (0x0B60, 0x0130)

### Level $00D ###
00: $72 - Super Koopa with yellow cape (0x0110, 0x0100)
01: $73 - Super Koopa on the ground (0x01A0, 0x0170)
02: $01 - Red Koopa Troopa without shell (0x0250, 0x0160)
03: $DA - Green Koopa shell (0x02D0, 0x0170)
04: $72 - Super Koopa with yellow cape (0x0340, 0x0100)
05: $72 - Super Koopa with yellow cape (0x0360, 0x00E0)
06: $72 - Super Koopa with yellow cape (0x0450, 0x0100)
07: $72 - Super Koopa with yellow cape (0x04B0, 0x0100)
08: $72 - Super Koopa with yellow cape (0x0510, 0x0100)
09: $72 - Super Koopa with yellow cape (0x0530, 0x00C0)
10: $72 - Super Koopa with yellow cape (0x0570, 0x00D0)
11: $DB - Red Koopa shell (0x0640, 0x0110)
12: $02 - Blue Koopa Troopa without shell (0x0650, 0x0110)
13: $DB - Red Koopa shell (0x06D0, 0x0110)
14: $72 - Super Koopa with yellow cape (0x06D0, 0x0100)
15: $02 - Blue Koopa Troopa without shell (0x06F0, 0x0110)
16: $73 - Super Koopa on the ground (0x0740, 0x0170)
17: $72 - Super Koopa with yellow cape (0x0760, 0x00F0)
18: $72 - Super Koopa with yellow cape (0x07A0, 0x00F0)
19: $DC - Blue Koopa shell (0x07A0, 0x0100)
20: $02 - Blue Koopa Troopa without shell (0x07B0, 0x0100)
21: $72 - Super Koopa with yellow cape (0x07E0, 0x00F0)
22: $73 - Super Koopa on the ground (0x0810, 0x0170)
23: $72 - Super Koopa with yellow cape (0x0830, 0x0100)
24: $DC - Blue Koopa shell (0x0830, 0x0120)
25: $DC - Blue Koopa shell (0x0840, 0x0100)
26: $02 - Blue Koopa Troopa without shell (0x0850, 0x0120)
27: $02 - Blue Koopa Troopa without shell (0x0860, 0x0100)
28: $00 - Green Koopa Troopa without shell (0x0A20, 0x0150)
29: $D3 - Super Koopa generator (0x0A60, 0x0000)
30: $02 - Blue Koopa Troopa without shell (0x0AE0, 0x0150)
31: $02 - Blue Koopa Troopa without shell (0x0B80, 0x0150)
32: $72 - Super Koopa with yellow cape (0x0C70, 0x00E0)
33: $72 - Super Koopa with yellow cape (0x0C70, 0x00D0)
34: $72 - Super Koopa with yellow cape (0x0C70, 0x00C0)
35: $72 - Super Koopa with yellow cape (0x0C70, 0x00B0)
36: $D3 - Super Koopa generator (0x0D90, 0x0000)
37: $72 - Super Koopa with yellow cape (0x0EA0, 0x0090)
38: $72 - Super Koopa with yellow cape (0x0EA0, 0x00E0)
39: $72 - Super Koopa with yellow cape (0x0F00, 0x00A0)
40: $72 - Super Koopa with yellow cape (0x0F00, 0x00D0)
41: $72 - Super Koopa with yellow cape (0x0F60, 0x0080)
42: $72 - Super Koopa with yellow cape (0x0F60, 0x00D0)
43: $01 - Red Koopa Troopa without shell (0x1030, 0x0100)
44: $72 - Super Koopa with yellow cape (0x10C0, 0x0100)
45: $D9 - Turn Off Generators (0x1100, 0x0000)
46: $01 - Red Koopa Troopa without shell (0x1100, 0x0140)
47: $72 - Super Koopa with yellow cape (0x1120, 0x00F0)
48: $72 - Super Koopa with yellow cape (0x1190, 0x00F0)
49: $72 - Super Koopa with yellow cape (0x1210, 0x0120)
50: $72 - Super Koopa with yellow cape (0x1270, 0x00D0)
51: $72 - Super Koopa with yellow cape (0x1280, 0x00C0)
52: $72 - Super Koopa with yellow cape (0x1290, 0x00B0)
53: $72 - Super Koopa with yellow cape (0x12A0, 0x00A0)
54: $72 - Super Koopa with yellow cape (0x12B0, 0x0090)
55: $7B - Goal tape (0x12E0, 0x0170)

### Level $00E ###
00: $31 - Bony Beetle (0x0210, 0x0180)
01: $9E - Ball 'n' Chain (0x0250, 0x0180)
02: $31 - Bony Beetle (0x02F0, 0x0140)
03: $9E - Ball 'n' Chain (0x0320, 0x0100)
04: $9E - Ball 'n' Chain (0x0360, 0x0170)
05: $9E - Ball 'n' Chain (0x03A0, 0x0100)
06: $9E - Ball 'n' Chain (0x0410, 0x0160)
07: $9E - Ball 'n' Chain (0x0420, 0x0110)
08: $74 - Mushroom (0x0500, 0x0140)

### Level $00F ###
00: $63 - Brown/checkered line-guided platform (0x0130, 0x0180)
01: $63 - Brown/checkered line-guided platform (0x01B0, 0x0150)
02: $65 - Chainsaw (line-guided) (0x01D0, 0x0180)
03: $63 - Brown/checkered line-guided platform (0x0270, 0x0120)
04: $65 - Chainsaw (line-guided) (0x0290, 0x0150)
05: $65 - Chainsaw (line-guided) (0x03B0, 0x0190)
06: $65 - Chainsaw (line-guided) (0x0440, 0x0160)
07: $65 - Chainsaw (line-guided) (0x0450, 0x0110)
08: $65 - Chainsaw (line-guided) (0x04D0, 0x0190)
09: $65 - Chainsaw (line-guided) (0x04E0, 0x0120)
10: $65 - Chainsaw (line-guided) (0x0510, 0x0100)
11: $65 - Chainsaw (line-guided) (0x0550, 0x0190)
12: $65 - Chainsaw (line-guided) (0x0560, 0x0190)
13: $65 - Chainsaw (line-guided) (0x0650, 0x0100)
14: $65 - Chainsaw (line-guided) (0x06A0, 0x0160)
15: $65 - Chainsaw (line-guided) (0x0750, 0x00F0)
16: $65 - Chainsaw (line-guided) (0x0790, 0x00F0)
17: $65 - Chainsaw (line-guided) (0x07C0, 0x0190)
18: $65 - Chainsaw (line-guided) (0x07D0, 0x0100)
19: $65 - Chainsaw (line-guided) (0x0820, 0x0130)
20: $65 - Chainsaw (line-guided) (0x0830, 0x0190)
21: $65 - Chainsaw (line-guided) (0x0860, 0x0180)
22: $65 - Chainsaw (line-guided) (0x0870, 0x0130)
23: $65 - Chainsaw (line-guided) (0x0890, 0x0100)
24: $65 - Chainsaw (line-guided) (0x08F0, 0x0100)
25: $64 - Line-guided rope mechanism (0x0A40, 0x0100)
26: $64 - Line-guided rope mechanism (0x0BA0, 0x0110)
27: $64 - Line-guided rope mechanism (0x0CD0, 0x0120)
28: $64 - Line-guided rope mechanism (0x0D20, 0x0100)
29: $64 - Line-guided rope mechanism (0x0D80, 0x0100)
30: $64 - Line-guided rope mechanism (0x0F10, 0x0100)
31: $66 - Upside-down chainsaw (line-guided) (0x0F90, 0x00D0)
32: $65 - Chainsaw (line-guided) (0x0F90, 0x0130)
33: $65 - Chainsaw (line-guided) (0x0FF0, 0x0160)
34: $65 - Chainsaw (line-guided) (0x1050, 0x0130)
35: $65 - Chainsaw (line-guided) (0x1090, 0x0190)
36: $65 - Chainsaw (line-guided) (0x10F0, 0x0140)
37: $65 - Chainsaw (line-guided) (0x1150, 0x0170)
38: $65 - Chainsaw (line-guided) (0x11B0, 0x0140)
39: $65 - Chainsaw (line-guided) (0x11B0, 0x01A0)
40: $7B - Goal tape (0x12E0, 0x0150)
41: $7B - Goal tape (0x14E0, 0x0570)

### Level $010 ###
00: $4D - Monty Mole, ground-dwelling (0x00C0, 0x0170)
01: $BD - Sliding Koopa (0x0100, 0x0110)
02: $4D - Monty Mole, ground-dwelling (0x0120, 0x0170)
03: $9A - Sumo Brother (0x0210, 0x0120)
04: $4D - Monty Mole, ground-dwelling (0x0270, 0x0170)
05: $BD - Sliding Koopa (0x03B0, 0x00F0)
06: $BD - Sliding Koopa (0x0410, 0x0110)
07: $BD - Sliding Koopa (0x0440, 0x0120)
08: $DB - Red Koopa shell (0x0460, 0x0170)
09: $4E - Monty Mole, ledge-dwelling (0x04E0, 0x0110)
10: $4E - Monty Mole, ledge-dwelling (0x04E0, 0x0150)
11: $4E - Monty Mole, ledge-dwelling (0x0520, 0x0170)
12: $4E - Monty Mole, ledge-dwelling (0x0520, 0x0110)
13: $4D - Monty Mole, ground-dwelling (0x0540, 0x0170)
14: $4D - Monty Mole, ground-dwelling (0x0540, 0x00F0)
15: $4D - Monty Mole, ground-dwelling (0x0540, 0x0130)
16: $4D - Monty Mole, ground-dwelling (0x0560, 0x0150)
17: $4D - Monty Mole, ground-dwelling (0x06D0, 0x0170)
18: $4E - Monty Mole, ledge-dwelling (0x06F0, 0x0140)
19: $4E - Monty Mole, ledge-dwelling (0x0710, 0x0160)
20: $4E - Monty Mole, ledge-dwelling (0x0730, 0x0160)
21: $4E - Monty Mole, ledge-dwelling (0x0730, 0x0130)
22: $4D - Monty Mole, ground-dwelling (0x0750, 0x0170)
23: $4F - Jumping Piranha Plant (0x0760, 0x0150)
24: $9A - Sumo Brother (0x0860, 0x00F0)
25: $4E - Monty Mole, ledge-dwelling (0x08B0, 0x0190)
26: $9A - Sumo Brother (0x08B0, 0x00F0)
27: $4F - Jumping Piranha Plant (0x0990, 0x0160)
28: $4E - Monty Mole, ledge-dwelling (0x0A20, 0x00F0)
29: $4E - Monty Mole, ledge-dwelling (0x0A40, 0x0190)
30: $4E - Monty Mole, ledge-dwelling (0x0A50, 0x0120)
31: $4E - Monty Mole, ledge-dwelling (0x0A80, 0x00F0)
32: $4E - Monty Mole, ledge-dwelling (0x0AB0, 0x0150)
33: $4D - Monty Mole, ground-dwelling (0x0C10, 0x0170)
34: $4D - Monty Mole, ground-dwelling (0x0C90, 0x0170)
35: $4E - Monty Mole, ledge-dwelling (0x0CD0, 0x0160)
36: $4E - Monty Mole, ledge-dwelling (0x0D30, 0x0130)
37: $4E - Monty Mole, ledge-dwelling (0x0D40, 0x0150)
38: $4D - Monty Mole, ground-dwelling (0x0D60, 0x0170)
39: $4E - Monty Mole, ledge-dwelling (0x0DA0, 0x0160)
40: $81 - Changing item (0x0F80, 0x0170)
41: $50 - Jumping Piranha Plant that spits fireballs (0x1060, 0x0160)
42: $9A - Sumo Brother (0x11F0, 0x0130)
43: $9A - Sumo Brother (0x1230, 0x00F0)
44: $93 - Bouncin' Chuck (0x1340, 0x0170)
45: $7B - Goal tape (0x13E0, 0x0170)

### Level $011 ###
00: $CA - Torpedo Ted launcher (0x0110, 0x0130)
01: $C2 - Blurp (0x0130, 0x0110)
02: $C2 - Blurp (0x0160, 0x00F0)
03: $C2 - Blurp (0x0230, 0x0170)
04: $C2 - Blurp (0x0230, 0x0140)
05: $CA - Torpedo Ted launcher (0x0260, 0x0100)
06: $CA - Torpedo Ted launcher (0x0280, 0x0110)
07: $C2 - Blurp (0x02A0, 0x0170)
08: $C2 - Blurp (0x02C0, 0x0170)
09: $C2 - Blurp (0x02E0, 0x0170)
10: $CA - Torpedo Ted launcher (0x0370, 0x0160)
